url,status,merchant,title,currency,price,selected_option,lists,note,date_saved,last_updated,purchased_on,purchased_price,image_url
https://www.valentino.com/en-wx/product-rockstud-ankle-strap-pump-with-tonal-studs-100--mm-WS0393VB8_0NO,unpurchased,www.valentino.com,Rockstud Ankle Strap Pump With Tonal Studs 100 Mm,,,,"All items,Shoes",,2024-12-24 10:21:35.929173 +1100 AEDT,2025-10-11 10:59:47.106122 +1100 AEDT,,,https://valentino-cdn.thron.com/delivery/public/image/valentino/d3c9d02a-c116-429c-8718-a48cb5967ff4/ihqstx/std/500x0/Rockstud-Ankle-Strap-Pump-With-Tonal-Studs-100-Mm?quality=80&size=35&format=auto
https://www.valentino.com/en-wx/product-vlogo-signature-patent-leather-slingback-pump-80mm---3-15-in--WS0R01TMK_ZQW,unpurchased,www.valentino.com,Valentino Garavani Women's Pumps & Designer Slingbacks | Valentino,,,,"All items,Shoes",,2024-12-24 10:18:46.025699 +1100 AEDT,2025-10-12 12:15:29.038679 +1100 AEDT,,,https://valentino-cdn.thron.com/delivery/public/image/valentino/5eabb0b3-3f59-4490-b3c8-e82a1486be1f/ihqstx/std/500x0/VLOGO-SIGNATURE-PATENT-LEATHER-SLINGBACK-PUMP-80MM?quality=80&size=35&format=auto
https://www.valentino.com/en-wx/product-vlogo-signature-slingback-pump-in-calfskin-leather-80mm-WS0R01EST_04W,unpurchased,www.valentino.com,Valentino Garavani Women's Pumps & Designer Slingbacks | Valentino,,,,"All items,Shoes",,2024-12-24 10:17:51.370996 +1100 AEDT,2025-10-12 12:22:27.181624 +1100 AEDT,,,https://valentino-cdn.thron.com/delivery/public/image/valentino/10020f1a-81cb-4e45-a75d-deed93e8707a/ihqstx/std/500x0/VLOGO-SIGNATURE-SLINGBACK-PUMP-IN-CALFSKIN-LEATHER-80MM?quality=80&size=35&format=auto
https://www.hugoboss.com/us/regular-fit-jacket-with-double-breasted-closure/hbna50528695_001.html,unpurchased,www.hugoboss.com,BOSS - Regular-fit jacket with double-breasted closure - Black,,,,"All items,Blazers",,2024-12-24 10:15:24.485154 +1100 AEDT,2025-05-02 14:50:42.188343 +1000 AEST,,,https://images.hugoboss.com/is/image/boss/hbna50528695_001_100?$social_sharing$
https://www.hugoboss.com/us/collarless-jacket-in-sparkle-effect-tweed/hbna50524684_001.html,unpurchased,www.hugoboss.com,BOSS - Collarless jacket in sparkle-effect tweed - Black,,,,"All items,Blazers",,2024-12-24 10:13:03.594415 +1100 AEDT,2025-05-01 14:29:06.100068 +1000 AEST,,,https://images.hugoboss.com/is/image/boss/hbna50524684_001_100?$social_sharing$
https://www.hugoboss.com/us/oversize-fit-trench-coat-in-faux-leather/hbna50516768_001.html,unpurchased,www.hugoboss.com,HUGO - Oversize-fit trench coat in faux leather - Black,,,,"All items,Coats",,2024-12-24 10:11:03.802761 +1100 AEDT,2025-05-01 12:41:09.019106 +1000 AEST,,,https://images.hugoboss.com/is/image/boss/hbna50516768_001_100?$social_sharing$
https://www.hugoboss.com/us/long-length-twill-coat-with-double-breasted-closure/hbna50524975_260.html,unpurchased,www.hugoboss.com,BOSS - Long-length twill coat with double-breasted closure - Beige,,,,"All items,Coats",,2024-12-24 10:10:32.884486 +1100 AEDT,2025-04-30 13:54:37.807705 +1000 AEST,,,https://images.hugoboss.com/is/image/boss/hbna50524975_260_100?$social_sharing$
https://www.ralphlauren.com/women-clothing-pants/dean-wool-gabardine-pant/100034084.html,unpurchased,Ralph Lauren,Dean Wool Gabardine Pant,USD,"$1,190.00",,"All items,Pants",,2024-12-24 09:57:37.290545 +1100 AEDT,2025-06-19 15:30:23.310436 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI290957076001_alternate10?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-pants/wool-blend-tweed-tapered-pant/100027480.html,unpurchased,Ralph Lauren,Wool-Blend Tweed Tapered Pant,USD,$598.00,,"All items,Pants",,2024-12-24 09:56:03.159082 +1100 AEDT,2025-05-04 17:54:39.754115 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI211941416001_lifestyle?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-pants/wool-blend-tweed-tapered-pant/100027480.html,unpurchased,Ralph Lauren,Wool-Blend Tweed Tapered Pant,USD,$209.99,,"All items,Pants",,2024-12-24 09:55:15.171822 +1100 AEDT,2025-07-10 16:00:51.102298 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI211941416001_lifestyle?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-pants/lambskin-5-pocket-super-slim-pant/100027414.html,unpurchased,Ralph Lauren,Lambskin 5-Pocket Super-Slim Pant,USD,$718.80,,"All items,Pants",,2024-12-24 09:54:34.567991 +1100 AEDT,2025-07-08 16:07:45.494145 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI211941062001_lifestyle?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-pants/stamford-glen-plaid-wool-pant/100039946.html,unpurchased,Ralph Lauren,Stamford Glen Plaid Wool Pant,USD,$830.00,,"All items,Pants",,2024-12-24 09:54:02.815917 +1100 AEDT,2025-06-24 17:53:34.620517 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI290960014001_lifestyle?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-pants/dean-washed-flannel-pant/100039959.html,unpurchased,Ralph Lauren,Dean Washed Flannel Pant,USD,$750.00,,"All items,Pants",,2024-12-24 09:53:49.275492 +1100 AEDT,2025-06-07 16:13:39.189238 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI290960537001_lifestyle?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-pants/checked-twill-straight-leg-pant/100029712.html,unpurchased,Ralph Lauren,Checked Twill Straight-Leg Pant,USD,$149.99,,"All items,Pants",,2024-12-24 09:53:07.173197 +1100 AEDT,2025-06-20 16:45:15.097786 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI201951205001_lifestyle?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-pants/stretch-corduroy-mid-rise-straight-pant/630797.html,unpurchased,Ralph Lauren,Stretch Corduroy Mid-Rise Straight Pant,USD,$109.99,,"All items,Pants",,2024-12-24 09:52:55.436953 +1100 AEDT,2025-06-29 17:06:43.171779 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-1493709_lifestyle?$rl_4x5_pdp$
